,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
90,452,431,461,356,443,366,368,152,87,1586,1530,0,1712,1326,78,61,449,2606,1901,10,105,131,150,183,63,573,46,542,411,25,2092,127,1400,1427,18,144,2222,147,747,265,2851,128,130,1397,106,1138,66,128,23,2806,310,597,76,109,248,2086
91,283,485,228,248,436,484,463,270,119,1462,1554,21,1626,1314,55,82,115,2819,1828,5,54,41,175,103,86,724,51,475,187,0,2303,142,1623,1076,56,119,2114,109,793,227,2789,267,118,1377,184,852,61,128,29,2874,142,611,109,34,79,2183
92,777,870,475,617,689,788,755,450,255,2877,2799,28,2766,2765,117,52,592,5032,3847,62,66,84,201,195,66,1155,147,756,341,31,4401,220,2950,2341,11,154,3977,303,1396,341,5335,454,217,2852,330,1412,197,133,81,5203,473,924,142,40,119,4451
93,532,1021,403,620,848,893,976,425,416,3071,3063,64,3139,2749,182,102,409,5623,4000,37,32,48,177,272,41,1527,153,1043,488,66,4384,314,3199,2253,44,324,4550,238,1346,603,5531,475,269,2967,211,1855,37,284,36,5645,489,1109,219,57,37,4712
94,577,373,981,1075,676,791,416,176,104,2443,2726,0,3471,1576,122,35,1266,3868,2610,65,194,110,374,354,237,1225,47,704,1459,16,2943,389,2100,2480,105,95,4141,204,824,262,4907,488,203,1684,271,2189,83,195,56,4198,971,1583,202,656,185,2543
95,544,588,699,832,643,394,367,167,143,2220,2157,40,2451,1770,116,133,233,4011,2639,11,366,314,207,200,94,546,0,664,1043,25,2645,343,1351,2530,19,134,3109,117,1151,370,4007,187,112,1926,418,1367,130,213,24,3289,1088,410,631,601,117,2618
96,802,374,837,756,726,551,552,115,63,2256,2520,9,2894,1750,123,36,529,4211,2761,41,113,182,288,249,162,980,110,883,629,13,3141,346,2082,2167,106,75,3611,280,885,259,4517,293,207,1875,365,1731,89,189,27,4104,672,673,335,782,214,2772
97,357,416,196,392,440,439,359,144,40,1465,1318,0,1504,1192,87,2,293,2488,1668,19,34,35,72,126,36,793,122,459,183,45,1974,158,1400,1068,51,106,2073,186,524,199,2584,196,69,1268,140,828,123,144,15,2528,255,426,41,189,123,2004
98,344,393,471,408,429,469,276,215,130,1444,1691,6,1776,1265,88,15,189,2931,1743,43,135,188,251,213,137,425,98,696,616,0,1725,149,1309,1513,0,164,2369,127,639,212,2923,89,69,1337,159,1302,46,133,0,2729,406,648,23,391,96,1977
99,495,419,395,683,717,688,442,276,120,2055,2180,16,2455,1701,63,21,237,3977,2434,0,66,216,350,178,95,896,50,814,624,6,2741,369,1996,1719,13,138,3221,324,690,338,3897,313,135,1777,399,1295,79,195,42,3805,430,1161,63,242,132,2637
