,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
51,296,419,667,386,448,454,356,132,112,1654,1616,0,1899,1271,100,14,302,2954,1858,51,75,140,206,228,83,629,88,737,233,17,2195,290,1381,1467,45,87,2222,151,897,265,3005,239,132,1371,176,1054,155,77,66,3123,147,831,256,0,159,2024
52,605,693,715,643,712,656,460,224,76,2201,2583,58,2438,2125,163,48,849,3887,3088,14,75,61,261,317,108,860,55,868,496,97,3268,212,2171,2265,20,116,3137,248,1399,280,4504,276,166,2313,374,1297,60,168,130,4517,267,891,273,79,270,3271
53,495,670,831,678,685,784,580,328,111,2410,2752,48,2703,2254,157,67,748,4347,3169,42,51,39,211,179,233,1238,172,687,296,35,3972,275,2424,2235,59,169,3617,265,1280,520,4642,406,163,2451,452,1485,67,93,45,5005,157,901,320,51,198,3692
54,354,313,442,341,323,414,232,194,75,1423,1265,23,1450,1145,70,0,280,2408,1662,18,30,42,162,75,112,587,50,465,149,14,2010,174,1207,1210,32,65,1807,102,779,221,2467,169,97,1209,162,732,73,114,132,2610,78,490,188,38,157,1815
55,1088,1045,565,1041,1030,1042,718,510,270,3615,3694,121,3658,3399,131,85,563,6661,4635,14,124,276,156,326,176,1602,76,1316,661,124,5132,390,3487,3078,117,237,5143,271,1895,555,6754,566,409,3623,359,1830,137,290,95,6807,502,1679,297,204,300,4829
56,197,197,268,291,216,247,126,160,90,964,828,6,1062,713,11,0,99,1693,1007,13,52,66,110,51,79,414,32,367,56,0,1337,107,798,763,15,109,1375,136,281,212,1580,159,107,725,67,617,36,42,39,1709,83,408,107,0,69,1208
57,783,1117,1257,1275,889,856,798,260,233,3545,3923,13,4096,3191,168,290,547,6631,4523,173,404,570,767,347,92,592,93,1716,2600,28,3031,236,2828,3887,204,313,5424,210,1834,414,7054,277,229,3369,389,2896,112,164,32,5745,1723,1967,585,1111,48,3757
58,302,339,373,420,339,491,301,131,89,1376,1409,23,1622,1066,74,68,293,2424,1499,11,123,189,115,210,69,569,72,761,311,20,1621,118,1272,1237,12,146,2113,85,587,235,2550,126,92,1133,86,1139,91,80,38,2492,293,706,131,47,172,1729
59,664,560,368,527,669,777,515,400,191,2365,2306,64,2387,2130,90,13,372,4286,2831,59,61,103,208,190,130,1089,93,648,419,29,3482,341,2235,1845,45,205,3521,117,1033,332,4339,429,237,2269,314,1158,44,138,82,4300,371,718,154,130,211,3458
60,532,388,476,661,560,670,468,276,127,2266,1892,77,2453,1569,59,24,543,3591,2164,26,72,265,265,287,118,961,81,564,258,58,3197,457,1534,1895,117,155,3312,173,673,280,3878,459,258,1664,232,1341,78,88,38,3707,451,209,328,252,59,3310
61,518,684,440,674,642,611,449,205,57,2095,2185,32,2316,1883,49,95,507,3678,2460,0,57,210,250,242,111,950,126,1076,587,34,2457,351,1890,1826,74,139,2941,158,1181,303,3977,425,218,1932,125,1383,49,77,71,3918,362,1276,734,267,192,1811
62,435,462,504,409,541,493,402,276,65,1710,1877,32,2004,1469,82,71,441,3075,2036,14,296,230,188,145,167,511,116,765,443,18,2245,356,1697,1327,148,59,2668,129,790,248,3339,143,140,1554,179,1374,39,115,43,3145,442,739,277,217,118,2236
63,490,684,598,529,849,686,670,322,81,2408,2501,58,2580,2165,106,27,486,4396,2853,55,109,322,227,276,115,952,134,1041,549,66,3119,300,2334,2055,67,153,3350,136,1423,340,4569,447,225,2320,305,1417,51,121,23,4678,231,1042,431,165,254,3017
64,347,346,252,452,342,286,222,139,46,1314,1118,0,1296,1090,46,33,285,2114,1434,5,50,70,166,234,84,389,36,634,359,6,1397,146,1029,1173,4,80,1633,145,654,188,2244,174,122,1115,58,812,49,75,27,2234,198,517,550,160,82,1123
65,621,635,306,583,525,828,376,372,119,2114,2251,122,1955,2110,178,20,712,3633,2744,0,39,123,106,314,109,930,135,738,231,0,3261,157,2293,1759,0,156,3033,335,997,427,3938,377,201,2396,249,985,19,83,55,4007,358,558,317,38,397,3055
66,617,615,431,609,678,630,653,224,155,2333,2279,36,2370,2117,89,12,580,4020,2774,69,174,121,213,249,153,859,215,826,259,0,3312,312,2213,1899,7,181,3389,217,1006,295,4317,421,155,2240,127,1362,98,169,40,4217,395,984,485,132,322,2689
67,778,852,385,704,790,745,779,297,151,2835,2646,128,2547,2721,85,76,470,4935,3383,10,63,69,140,122,108,1586,277,730,226,49,4199,219,2705,2334,17,206,3783,213,1485,296,5185,636,192,2925,298,1286,26,79,39,5221,260,683,435,45,145,4173
68,749,1101,893,808,1031,1034,671,481,1715,4795,3688,78,3550,4603,252,0,370,8113,6165,125,291,224,526,239,100,813,109,2014,872,58,5430,375,3416,3307,135,1250,6526,307,1650,1372,7111,332,227,4939,206,2264,277,215,23,7114,1369,1834,1122,186,275,5066
69,476,747,351,694,667,798,381,201,85,2319,2081,9,2532,1786,73,92,872,3436,2599,52,100,263,214,203,183,786,96,692,715,16,2881,295,2132,1856,51,66,3106,143,1151,311,4089,310,245,1834,186,1568,64,105,88,4055,345,815,197,63,219,3106
70,358,504,304,439,503,541,309,281,80,1689,1630,50,1628,1578,63,54,219,3046,1988,0,80,85,115,201,127,723,134,537,239,15,2394,163,1679,1314,15,148,2386,152,781,276,3043,184,73,1660,126,1095,36,94,51,3173,146,696,222,170,152,2079
71,303,477,380,257,387,560,448,226,136,1606,1568,74,1544,1509,47,28,514,2632,1966,51,61,25,140,54,61,816,49,535,86,0,2504,95,1710,1201,72,96,2283,222,669,201,2973,331,80,1637,172,713,122,87,32,3060,114,456,93,78,92,2455
72,564,543,319,526,477,564,364,222,40,1997,1622,30,1901,1660,28,0,263,3356,2291,16,78,72,142,203,86,731,120,576,317,30,2576,204,1631,1731,25,28,2458,227,934,307,3312,234,149,1713,197,1114,60,123,29,3434,185,712,504,64,80,2259
73,482,415,545,478,509,667,446,287,131,2097,1863,40,2188,1635,97,42,519,3399,2300,19,44,187,200,286,99,825,104,691,214,8,2943,306,1890,1642,53,69,2758,212,990,328,3632,280,223,1741,202,1215,47,93,159,3714,246,414,201,230,180,2935
74,248,212,470,364,348,242,185,159,36,1228,1036,19,1330,903,12,81,458,1725,1237,4,61,92,215,125,64,466,127,236,410,25,1466,256,760,1176,23,49,1759,113,392,91,2173,167,124,916,201,786,27,43,0,2011,253,400,175,34,109,1546
75,699,697,426,722,674,562,566,273,240,2629,2230,71,2181,2544,63,73,690,4096,3211,40,87,69,118,297,89,948,253,798,392,0,3416,350,2262,1966,28,253,3387,271,1201,306,4553,397,183,2652,171,1240,38,134,44,4308,551,629,86,131,527,3486
76,658,613,712,695,596,820,798,364,129,2617,2768,127,2619,2551,88,85,697,4603,3414,28,79,160,284,134,62,1224,117,819,417,48,3984,173,2793,2255,40,124,3817,192,1376,371,5014,428,223,2719,303,1341,129,180,62,4995,390,1022,430,50,148,3735
77,290,596,386,401,346,746,611,197,81,1812,1842,50,1817,1686,101,72,348,3234,2305,0,39,91,116,155,62,886,79,502,187,17,2869,179,1834,1490,11,140,2522,203,929,391,3263,453,138,1790,138,893,69,113,60,3491,163,572,186,20,75,2801
78,569,810,424,693,579,713,662,363,90,2518,2385,127,2330,2345,101,43,371,4489,3059,13,29,135,242,237,49,1139,180,457,212,42,4012,265,2531,1941,10,156,3418,202,1283,217,4686,419,264,2529,233,1221,90,109,38,4613,290,550,243,35,162,3913
79,696,863,419,664,834,1000,736,346,138,2865,2831,121,2703,2762,110,61,463,5172,3530,28,60,102,219,211,120,1426,232,639,310,9,4506,190,3096,2179,39,192,3979,280,1437,508,5188,612,257,2973,338,1308,98,57,53,5497,199,628,422,23,216,4407
80,709,741,333,444,835,697,669,325,91,2419,2425,75,2450,2253,66,17,321,4506,2808,81,49,49,195,193,120,1349,114,794,206,85,3645,158,2607,1933,52,94,3423,178,1243,353,4491,696,266,2406,151,1170,63,83,9,4686,158,792,572,97,234,3149
81,355,299,410,253,358,530,575,236,45,1674,1387,33,1678,1297,53,11,369,2681,1765,0,21,96,99,179,100,801,99,372,258,0,2332,160,1629,1196,54,22,2179,206,676,273,2788,417,136,1353,89,931,40,60,35,2877,184,358,506,79,163,1955
82,775,492,567,863,477,586,409,226,66,2360,2101,38,2478,1886,59,19,462,3980,2405,19,260,316,243,355,117,746,113,845,681,11,2811,357,1902,2018,65,119,3196,270,995,207,4254,406,222,1981,209,1506,72,47,18,4199,262,669,843,359,288,2302
83,415,318,303,332,299,343,220,128,0,1244,1114,44,1156,1095,63,12,358,1988,1527,0,51,40,77,90,63,510,59,530,189,0,1580,129,1087,1086,15,41,1575,111,672,170,2188,172,101,1198,121,706,5,46,9,2110,248,399,539,31,281,1108
84,884,1229,546,686,1107,1288,815,412,553,3945,3575,118,3533,3788,81,134,872,6514,4540,0,235,317,222,181,60,1965,313,1004,917,23,5263,495,3408,3106,58,453,5170,320,2030,693,6827,424,360,3934,389,2058,91,199,65,7049,471,1417,205,131,425,5342
