SERIALNO,AGE,SEX,EMPLOYMENT,MOBILITY,INCOME,CITIZENSHIP,MARITAL_STATUS,SCHOOLING,DISABILITY,WORK,INSURANCE,RACE
2018HU0056933,62,2,6,1,0,4,4,1,2,2,1,6
2018HU0063831,60,1,1,1,185000,5,1,1,2,5,1,1
2018HU0063831,60,2,1,1,55000,1,1,1,1,1,1,1
2018HU0064609,64,2,1,1,44600,4,3,1,2,7,2,6
2018HU0064609,66,1,1,1,20000,4,3,1,2,1,2,6
2018HU0066454,33,1,1,3,0,5,1,1,2,6,2,1
2018HU0066454,34,2,6,1,0,5,1,1,2,,2,1
2018HU0066454,0,2,,,,1,5,,2,,1,1
2018HU0067126,94,2,6,1,0,1,2,1,1,,1,1
2018HU0067422,23,2,1,3,45000,1,5,1,2,1,1,1
2018HU0067422,22,1,1,3,45000,2,5,1,2,1,1,2
2018HU0068549,44,1,4,2,105000,1,1,1,2,5,1,1
2018HU0068549,40,2,6,2,0,1,1,1,2,,1,1
2018HU0068549,5,2,,2,,1,5,2,2,,1,1
2018HU0068549,3,2,,2,,1,5,2,2,,1,2
2018HU0071808,30,1,1,1,47000,1,5,1,2,1,1,2
2018HU0072210,49,1,1,1,200000,1,1,1,2,1,1,1
2018HU0072210,51,2,1,1,160000,1,1,1,2,5,1,1
2018HU0074466,94,2,6,1,0,1,5,1,2,,1,1
2018HU0075329,35,1,1,1,120000,1,1,1,2,1,1,1
2018HU0075329,36,2,6,1,0,1,1,1,2,8,1,1
2018HU0075329,6,1,,1,,1,5,3,2,,1,1
2018HU0075329,3,2,,1,,1,5,1,2,,1,1
2018HU0075447,66,1,1,1,62000,4,1,1,2,2,1,2
2018HU0075447,52,2,1,1,29700,4,1,1,2,2,2,2
2018HU0075447,14,1,,1,,1,5,2,2,,2,2
2018HU0075458,79,1,6,1,0,1,1,1,2,,1,1
2018HU0075458,79,2,6,1,0,1,1,1,2,,1,1
2018HU0080236,30,1,1,1,87000,4,5,1,2,5,1,1
2018HU0080236,23,1,6,1,0,4,5,2,2,1,1,1
2018HU0080236,64,2,6,1,0,4,1,1,2,,1,1
2018HU0080236,54,2,1,1,48500,4,1,1,2,1,1,1
2018HU0081491,45,2,3,1,0,1,5,1,2,1,1,1
2018HU0083289,38,1,1,1,98000,1,3,1,2,1,1,1
2018HU0083289,40,2,1,1,72000,4,3,1,2,1,1,1
2018HU0084665,94,1,6,1,0,1,2,1,1,,1,1
2018HU0091289,44,2,1,1,200000,1,1,1,2,1,1,1
2018HU0091289,58,1,1,1,120000,1,1,1,2,1,1,1
2018HU0091289,7,2,,1,,1,5,2,2,,1,1
2018HU0091289,5,1,,1,,1,5,2,2,,1,1
2018HU0093690,65,1,1,1,0,1,1,1,2,6,1,1
2018HU0093690,62,2,1,1,122000,1,1,1,2,2,1,1
2018HU0093690,16,2,6,1,0,4,5,2,2,,1,6
2018HU0098850,53,2,1,1,65000,4,4,1,2,2,1,6
2018HU0098850,26,1,6,1,0,4,5,1,2,1,1,6
2018HU0098850,24,1,1,1,70000,4,5,1,2,1,1,6
2018HU0102726,61,1,6,1,0,1,1,1,2,5,1,1
2018HU0102726,61,2,6,1,0,1,1,1,2,,1,1
2018HU0102726,20,1,2,1,3700,1,5,2,2,4,1,1
2018HU0102972,28,2,1,1,97000,1,5,1,2,1,1,1
2018HU0102972,27,1,1,1,114000,1,5,1,2,1,1,1
2018HU0110734,48,1,1,1,32000,5,1,2,2,1,1,1
2018HU0110734,46,2,6,1,0,5,1,1,2,1,1,1
