,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
36,1164,700,812,962,556,617,285,87,44,2809,2418,37,2408,2515,267,214,475,4538,3329,94,424,318,320,319,140,283,55,970,1578,6,2618,459,1635,2931,138,64,3784,129,1314,309,4918,166,133,2831,218,1645,71,152,11,4132,1095,532,1140,720,732,2103
37,1064,544,777,503,776,486,414,341,113,2526,2492,19,2510,2339,150,41,493,4484,3213,14,201,273,349,404,117,447,232,795,775,5,3211,250,1654,2896,41,177,3495,192,1331,221,4797,182,219,2476,224,1609,30,267,11,4092,926,418,1047,534,307,2712
38,773,979,1337,1178,896,923,495,29,13,3140,3483,172,3784,2250,417,65,1048,5510,3723,85,303,630,360,551,208,763,81,1412,686,0,4444,402,2294,3693,185,49,4703,159,1761,673,5950,506,132,2812,313,2352,213,272,23,5455,1168,515,2460,273,443,2932
39,918,468,765,584,242,58,23,8,0,1412,1654,725,667,1581,93,177,1099,1790,1803,38,327,193,223,256,70,156,110,154,103,27,2672,77,1223,1760,0,6,1860,177,1029,155,2911,363,22,2402,44,220,8,7,0,2266,800,168,601,143,328,1826
40,429,388,432,497,508,487,279,194,447,1862,1799,46,1937,1600,78,77,361,3223,2055,12,150,137,252,124,121,810,75,615,284,10,2677,168,1587,1515,119,272,2884,150,627,428,3233,457,45,1734,35,1199,62,76,53,3277,384,445,1175,204,169,1668
41,1474,618,1191,1409,890,1138,691,131,70,3904,3708,197,4401,2942,72,41,1519,6052,4146,26,332,472,673,411,165,1387,55,1411,988,77,5081,351,3519,3511,119,112,5689,197,1726,709,6903,729,300,3174,124,2628,67,590,0,6663,949,1065,1315,1039,357,3836
42,1057,1083,1047,1142,1425,835,323,391,29,4221,3111,110,3832,3041,349,121,1258,5953,4211,107,298,389,758,376,251,942,22,1629,1443,0,4238,705,2687,3574,171,195,4932,320,2080,416,6916,724,368,3489,293,2039,148,207,64,6565,767,1133,2874,138,203,2984
43,325,613,327,201,512,628,370,271,105,1796,1556,21,1550,1668,113,22,330,3000,2063,6,24,88,135,176,122,738,77,1028,140,17,2090,121,1725,1246,36,224,2346,142,864,286,3066,204,122,1786,129,902,78,84,47,3230,122,1317,295,20,93,1627
44,869,1180,863,1000,1118,942,475,140,21,3429,3179,78,3453,2876,201,0,1441,5167,3864,66,178,259,329,449,132,1331,268,1897,494,0,3949,448,2726,3261,42,131,4250,672,1686,367,6241,713,167,3157,403,1756,97,312,3,5898,710,1638,1638,113,329,2890
45,533,244,407,599,407,570,246,155,85,1741,1505,66,1756,1397,27,45,617,2584,1673,50,65,83,198,289,118,770,74,717,266,16,2173,267,1360,1341,77,201,2422,134,690,255,2991,324,109,1479,100,995,76,151,12,2957,289,448,619,106,275,1798
46,659,537,702,1173,811,946,561,336,181,3103,2803,152,3317,2334,103,56,934,4916,3013,37,95,223,340,278,227,1693,173,1090,452,20,4171,599,2271,2757,79,200,4444,265,1197,372,5534,822,190,2576,319,1659,90,207,43,5374,532,1573,695,0,385,3253
47,311,221,609,579,283,381,222,86,23,1317,1398,51,1724,873,67,47,794,1874,1197,20,127,132,276,161,113,689,63,304,231,25,2092,249,1079,1355,21,11,2105,110,500,201,2514,323,128,998,140,1042,47,26,11,2578,137,210,324,136,57,1988
48,845,514,737,1250,851,670,329,227,37,2756,2704,148,3165,1996,151,22,519,4919,2954,0,80,138,399,137,226,1526,75,842,428,12,4103,291,2478,2499,53,139,4021,286,1153,469,4991,721,311,2293,221,1702,87,90,35,5110,350,506,1207,226,379,3142
49,474,306,245,488,401,570,327,152,109,1536,1536,54,1617,1334,67,50,334,2688,1739,32,15,58,96,156,61,915,75,496,203,23,2275,202,1529,1218,35,88,2351,157,564,201,2871,378,115,1447,128,809,89,90,16,2809,263,359,343,78,220,2072
50,527,705,488,369,675,709,667,428,138,2487,2219,54,2278,2292,82,120,227,4359,2913,0,104,70,176,171,83,1189,144,549,272,25,3716,224,2384,1854,37,207,3454,285,967,343,4363,337,199,2420,264,1223,80,126,57,4498,208,706,62,88,268,3582
51,282,446,647,405,461,424,365,134,106,1664,1606,0,1872,1307,91,8,293,2969,1857,46,77,132,212,229,81,636,86,670,237,13,2264,287,1385,1458,48,92,2227,144,899,280,2990,244,154,1377,175,1021,152,85,62,3105,165,764,273,0,148,2085
52,614,652,716,648,710,679,439,255,71,2241,2543,71,2457,2088,168,44,823,3917,3021,17,79,59,259,330,105,914,68,868,453,98,3297,230,2156,2239,14,145,3157,240,1387,299,4485,319,164,2273,357,1334,49,151,137,4537,247,901,284,66,282,3251
53,514,648,776,642,713,812,576,360,121,2378,2784,31,2744,2226,161,69,736,4357,3122,42,49,48,221,177,233,1270,168,714,297,35,3948,280,2457,2198,64,163,3667,251,1244,498,4664,414,162,2372,476,1530,61,105,42,5018,144,924,318,50,207,3663
54,337,343,402,276,355,456,248,202,69,1406,1282,20,1417,1194,57,0,241,2447,1687,19,20,54,136,92,94,586,47,515,138,9,1979,183,1227,1182,37,59,1817,103,768,181,2507,173,85,1241,161,708,75,118,127,2633,55,529,176,29,161,1793
55,1139,988,565,1031,1082,1016,728,474,286,3605,3704,117,3711,3355,126,84,605,6620,4519,12,121,299,173,330,167,1688,83,1307,614,120,5185,415,3473,3090,120,211,5204,269,1836,597,6712,592,414,3560,400,1828,136,286,93,6803,506,1656,312,214,299,4828
56,178,198,267,270,244,247,129,166,93,954,838,12,1037,728,15,0,103,1689,1005,14,59,64,109,50,82,409,27,402,60,0,1303,111,819,758,14,90,1384,144,264,206,1586,157,103,736,63,613,31,57,32,1700,92,447,127,0,73,1145
57,790,1078,1258,1306,875,832,796,280,253,3569,3899,12,4099,3187,170,289,537,6642,4470,174,405,569,765,355,91,639,124,1641,2602,27,3074,215,2911,3856,199,287,5473,217,1778,404,7064,276,221,3342,412,2912,104,162,39,5774,1694,1930,589,1117,52,3780
58,296,333,384,446,317,482,300,147,80,1348,1437,20,1650,1034,81,80,283,2422,1498,15,114,198,129,212,76,543,61,721,341,20,1642,130,1294,1201,15,145,2100,113,572,198,2587,130,86,1112,121,1127,88,75,46,2493,292,674,136,55,168,1752
59,650,583,335,581,682,777,484,397,182,2382,2289,69,2393,2108,101,18,373,4280,2731,59,55,130,237,204,126,1129,101,650,409,43,3468,324,2278,1821,52,196,3536,118,1017,316,4355,437,234,2233,334,1176,38,131,88,4304,367,716,155,137,215,3448
60,547,365,478,665,571,625,513,254,140,2233,1925,66,2489,1559,44,22,498,3638,2158,27,93,273,264,259,118,966,85,572,256,56,3189,435,1575,1882,114,152,3307,186,665,282,3876,435,255,1688,242,1338,69,94,37,3695,463,231,322,255,49,3301
