,a.0.9,a.10.19,a.20.29,a.30.39,a.40.49,a.50.59,a.60.69,a.70.79,a.80.89,f,m,armed.forces,civilian.employed,not.in.labor.force,unemployed,abroad.house,diff.us.house,same.house,i.0.9999,i.10000.14999,i.15000.24999,i.25000.34999,i.35000.49999,i.50000.64999,i.65000.74999,i.75000.99999,abroad.born,naturalization,not.citizen,puerto.rico.born,us.born,divorced,married,never,separated,widowed,no.schooling,private,public,with.disability,without.disability,federal,local,not.working,private.no.profit,private.profit,self.employed.corp,self.employed.no.corp,state,with.insurance,without.insurance,asian,black,other,two,white
33,505,344,437,730,519,530,507,307,103,2017,1965,90,2134,1643,115,31,344,3607,2317,0,93,66,275,228,81,922,60,532,322,23,3045,135,2118,1626,23,80,3004,252,726,369,3613,455,122,1848,208,1114,64,131,40,3698,284,348,477,144,146,2867
34,1756,1087,1409,2195,823,768,799,256,58,4524,4627,77,4752,4291,31,293,1443,7415,5512,117,849,886,291,481,223,792,129,1093,3060,353,4516,566,3602,4567,179,237,7091,223,1837,494,8657,287,281,4399,390,3534,90,114,56,6313,2838,1169,1760,1760,453,4009
35,1336,1240,786,1533,1133,508,532,193,79,3255,4085,33,3541,3518,248,0,872,6468,4937,55,260,378,788,480,100,342,29,1184,2331,0,3796,357,2710,3925,226,122,5081,302,1957,689,6651,223,198,3799,269,2550,50,174,77,5409,1931,391,1642,844,165,4298
36,1442,627,680,1433,759,905,388,278,26,3292,3246,0,3250,3054,234,57,891,5590,4276,0,418,474,767,248,98,257,66,1382,1959,42,3089,490,2015,3819,109,105,4812,190,1536,782,5756,269,46,3288,309,2364,39,205,18,5123,1415,691,2193,480,438,2736
37,1153,676,834,1017,551,593,290,71,42,2766,2461,45,2412,2487,283,210,475,4542,3363,91,406,337,327,318,131,254,49,965,1615,7,2591,475,1627,2917,139,69,3819,115,1293,310,4917,174,131,2815,202,1673,65,157,10,4091,1136,525,1179,762,753,2008
38,1107,566,780,461,779,455,435,335,100,2486,2532,12,2480,2382,144,35,496,4487,3271,14,198,282,346,382,108,417,234,775,770,9,3230,235,1568,2993,36,186,3468,203,1347,220,4798,167,215,2538,225,1568,30,269,6,4065,953,368,1083,549,318,2700
39,788,983,1344,1161,898,899,516,21,13,3155,3468,165,3777,2275,406,60,1083,5480,3780,83,300,615,353,549,203,740,84,1399,680,0,4460,415,2259,3721,178,50,4715,156,1752,679,5944,504,130,2846,323,2283,228,287,22,5432,1191,493,2537,267,440,2886
40,930,449,764,589,245,59,23,7,0,1421,1645,730,662,1584,90,175,1117,1774,1811,38,328,188,222,253,68,158,116,152,95,26,2677,75,1225,1760,0,6,1872,184,1010,151,2915,365,21,2404,46,213,8,9,0,2262,804,169,603,142,330,1822
41,391,402,432,489,513,490,289,188,467,1857,1804,46,1911,1622,82,80,340,3241,2126,8,153,145,241,135,114,739,68,640,305,11,2637,176,1586,1516,124,259,2888,160,613,447,3214,466,54,1750,37,1178,55,73,48,3257,404,459,1248,211,159,1584
42,1458,617,1224,1445,895,1120,687,109,57,3914,3698,196,4394,2961,61,30,1502,6080,4318,18,322,481,664,408,168,1233,50,1435,965,80,5082,359,3500,3537,108,108,5727,175,1710,704,6908,704,308,3218,106,2603,63,610,0,6623,989,1075,1347,1050,361,3779
43,1108,1132,1034,1133,1437,807,303,354,24,4188,3144,115,3785,3065,367,120,1241,5971,4272,111,302,393,732,355,251,916,23,1638,1439,0,4232,712,2630,3661,155,174,4844,319,2169,411,6921,715,378,3547,276,2020,152,186,58,6563,769,1141,2956,135,200,2900
44,297,625,334,199,511,628,386,264,108,1798,1554,22,1512,1701,117,28,306,3018,2147,5,19,76,121,169,101,714,85,1068,142,11,2046,101,1771,1233,21,226,2348,143,861,276,3076,205,125,1840,126,851,76,87,42,3234,118,1391,295,14,88,1564
45,851,1244,860,963,1177,919,446,129,19,3400,3208,84,3388,2940,196,0,1453,5155,4023,63,167,242,339,424,129,1221,310,1946,520,0,3832,462,2674,3310,36,126,4198,656,1754,367,6241,703,159,3220,398,1703,102,320,3,5873,735,1704,1692,101,333,2778
46,499,245,439,595,412,544,267,161,84,1734,1512,73,1761,1389,23,50,626,2570,1752,49,73,80,187,288,121,696,81,707,274,20,2164,286,1330,1344,82,204,2422,139,685,253,2993,339,136,1485,83,965,62,162,14,2919,327,449,632,102,274,1789
47,639,527,728,1231,835,919,559,302,166,3140,2766,152,3340,2313,101,55,972,4879,3085,33,80,221,331,294,258,1604,187,1078,429,19,4193,627,2213,2813,74,179,4456,252,1198,382,5524,843,190,2566,313,1642,97,212,43,5347,559,1602,731,0,399,3174
48,284,203,640,588,295,393,196,90,26,1299,1416,53,1720,869,73,37,844,1834,1265,20,112,136,279,167,123,613,77,327,237,21,2053,258,1076,1351,17,13,2157,108,450,209,2506,325,150,995,132,1036,47,20,10,2565,150,205,360,136,56,1958
49,846,522,740,1261,883,657,328,194,29,2777,2683,161,3199,1945,155,20,490,4950,3007,0,86,128,395,133,219,1492,69,788,433,10,4160,289,2462,2516,53,140,4026,292,1142,451,5009,750,327,2261,221,1703,79,90,29,5099,361,499,1263,235,366,3097
50,435,310,243,500,435,576,332,133,108,1554,1518,57,1629,1316,70,49,329,2694,1818,32,19,60,97,146,73,827,67,483,208,30,2284,197,1592,1150,47,86,2351,161,560,205,2867,372,125,1443,147,784,91,97,13,2787,285,354,371,89,202,2056
51,478,717,523,339,676,701,711,455,106,2431,2275,59,2222,2331,94,116,196,4394,3126,0,95,63,169,149,64,1040,183,523,235,21,3744,212,2427,1850,35,182,3464,281,961,317,4389,335,204,2484,240,1189,64,127,63,4482,224,684,53,96,263,3610
52,273,440,676,384,476,423,367,133,98,1650,1620,0,1879,1299,92,11,273,2986,1924,45,75,131,198,213,82,602,79,697,233,12,2249,295,1374,1474,41,86,2213,154,903,259,3011,249,141,1391,183,1007,154,79,66,3112,158,813,261,0,161,2035
53,609,696,722,641,722,644,460,215,75,2193,2591,65,2438,2127,154,41,818,3925,3144,18,68,61,259,303,101,830,58,893,472,93,3268,227,2140,2269,21,127,3129,253,1402,279,4505,285,167,2346,376,1248,62,163,137,4510,274,910,271,73,277,3253
54,513,671,810,671,706,756,587,336,112,2418,2744,38,2676,2295,153,68,696,4398,3268,35,49,38,200,169,241,1162,157,711,289,31,3974,262,2422,2259,58,161,3619,243,1300,513,4649,402,163,2486,471,1445,56,97,42,5015,147,925,304,53,204,3676
55,330,323,445,323,358,416,239,193,61,1413,1275,19,1455,1155,59,0,253,2435,1721,12,27,46,139,91,108,544,54,482,138,8,2006,181,1222,1199,30,56,1815,100,773,189,2499,174,98,1233,155,713,64,121,130,2615,73,528,193,31,160,1776
56,1093,1033,557,1018,1073,1007,756,501,271,3598,3711,124,3661,3404,120,83,506,6720,4724,9,119,284,155,341,168,1509,69,1331,632,125,5152,403,3505,3053,124,224,5177,274,1858,552,6757,572,427,3648,379,1767,130,294,92,6802,507,1700,289,202,307,4811
57,187,188,273,288,232,250,129,154,91,917,875,8,1077,697,10,0,90,1702,986,19,55,75,115,50,84,408,28,386,57,0,1321,116,801,766,12,97,1383,150,259,204,1588,160,108,715,60,640,33,41,35,1709,83,452,107,0,69,1164
58,792,1127,1262,1292,893,819,816,239,228,3549,3919,13,4102,3183,170,290,520,6658,4538,175,408,583,794,321,100,549,100,1693,2646,29,3000,230,2833,3905,205,295,5407,214,1847,403,7065,274,223,3366,404,2894,106,161,40,5731,1737,1979,583,1136,42,3728
59,288,342,385,432,334,468,321,135,80,1376,1409,17,1629,1069,70,76,263,2446,1542,10,126,199,128,199,70,511,68,787,331,20,1579,124,1265,1239,14,143,2109,91,585,202,2583,135,77,1156,113,1100,95,69,40,2465,320,723,136,54,184,1688
60,646,582,358,541,677,766,521,404,176,2358,2313,68,2369,2139,95,13,329,4329,2886,48,53,106,214,175,130,1059,84,627,410,38,3512,345,2243,1835,54,194,3513,116,1042,320,4351,449,242,2302,328,1094,39,135,82,4275,396,703,150,131,203,3484
61,542,373,477,672,572,640,484,277,121,2259,1899,79,2462,1562,55,22,479,3657,2218,20,87,266,257,282,124,904,73,555,254,56,3220,463,1515,1908,117,155,3328,175,655,271,3887,454,268,1696,243,1290,65,99,43,3689,469,195,324,268,58,3313
62,513,692,443,671,658,612,461,182,48,2040,2240,34,2375,1814,57,90,484,3706,2469,0,52,208,261,259,113,918,122,1097,591,43,2427,358,1884,1838,77,123,2930,162,1188,285,3995,444,229,1905,132,1382,52,70,66,3916,364,1337,749,268,185,1741
63,433,453,500,402,570,498,408,266,57,1743,1844,31,2010,1479,67,62,415,3110,2063,13,318,236,174,140,179,464,107,799,418,13,2250,359,1696,1336,150,46,2686,125,776,241,3346,142,143,1577,176,1339,37,128,45,3139,448,724,273,214,120,2256
64,479,705,619,513,877,658,666,326,66,2394,2515,60,2579,2149,121,30,488,4391,2928,50,114,337,229,280,111,860,145,1089,500,58,3117,297,2314,2079,68,151,3316,147,1446,322,4587,443,249,2330,323,1363,54,130,17,4646,263,1072,424,167,255,2991
65,341,345,245,462,363,282,220,130,44,1309,1123,0,1316,1068,48,30,236,2166,1446,3,55,75,169,255,81,348,35,655,345,6,1391,138,1049,1166,4,75,1639,150,643,188,2244,169,129,1116,59,805,51,76,27,2228,204,527,570,153,79,1103
66,622,637,313,589,544,784,387,370,119,2105,2260,126,1956,2115,168,16,688,3661,2808,0,39,120,104,310,107,877,128,743,213,0,3281,165,2288,1752,0,160,3042,342,981,432,3933,380,209,2409,251,943,23,93,57,3995,370,573,317,37,397,3041
67,606,628,455,560,696,632,674,207,154,2327,2285,33,2336,2169,74,13,565,4034,2867,61,195,99,200,244,158,788,217,833,249,0,3313,309,2213,1907,8,175,3410,213,989,301,4311,422,141,2276,116,1346,97,179,35,4203,409,980,497,128,322,2685
68,793,833,372,680,793,768,780,317,145,2772,2709,142,2509,2738,92,84,425,4972,3492,8,56,66,130,96,97,1536,286,713,192,51,4239,220,2756,2294,20,191,3822,208,1451,288,5193,656,204,2972,301,1201,26,81,40,5215,266,672,444,44,134,4187
69,718,1081,909,810,1021,1038,685,489,1732,4769,3714,74,3520,4617,272,0,344,8139,6220,128,296,223,536,240,102,738,101,2013,868,57,5444,369,3433,3282,138,1261,6539,315,1629,1388,7095,330,211,4963,221,2248,264,227,19,7100,1383,1809,1151,188,288,5047
70,488,768,332,678,712,773,395,182,72,2277,2123,6,2538,1788,68,87,839,3474,2685,48,108,268,198,174,186,733,91,713,709,20,2867,310,2111,1859,51,69,3103,148,1149,321,4079,317,242,1862,192,1531,61,107,88,4052,348,809,197,62,212,3120
71,363,525,317,413,524,486,318,306,67,1686,1633,41,1587,1632,59,55,198,3066,2049,1,68,77,113,213,116,682,134,523,225,11,2426,170,1648,1348,17,136,2364,149,806,287,3032,184,77,1732,121,1043,28,84,50,3168,151,724,233,161,146,2055
72,291,500,367,248,362,569,477,228,132,1585,1589,78,1507,1538,51,23,489,2662,2037,54,52,15,142,56,58,760,42,539,71,0,2522,93,1709,1199,81,92,2272,222,680,203,2971,337,84,1667,169,684,117,80,36,3058,116,463,90,63,98,2460
73,590,546,329,525,483,537,362,213,34,1985,1634,27,1883,1679,30,0,251,3368,2328,20,72,74,148,184,86,707,102,574,316,23,2604,212,1590,1768,27,22,2454,216,949,316,3303,233,148,1736,195,1106,50,125,26,3432,187,716,537,64,100,2202
74,465,418,563,469,523,630,459,306,127,2087,1873,42,2195,1640,83,49,474,3437,2374,19,44,181,195,262,97,788,113,702,159,8,2978,306,1907,1648,41,58,2757,216,987,344,3616,296,233,1765,211,1159,39,96,161,3713,247,414,202,230,174,2940
75,242,208,495,378,370,210,191,141,29,1242,1022,18,1347,889,10,75,499,1690,1256,5,64,103,203,127,65,441,124,237,434,25,1444,268,754,1177,22,43,1768,121,375,94,2170,168,142,917,224,744,25,44,0,1994,270,430,175,22,112,1525
76,697,699,402,720,704,537,577,268,255,2634,2225,66,2155,2579,59,74,648,4137,3263,32,90,75,112,260,87,940,234,796,372,0,3457,362,2242,1961,31,263,3378,280,1201,321,4538,396,185,2704,160,1188,38,140,48,4294,565,603,74,124,550,3508
77,645,633,720,681,614,772,827,361,132,2599,2786,131,2619,2553,82,96,681,4608,3559,20,73,155,289,112,74,1103,106,824,404,50,4001,163,2796,2259,39,128,3787,178,1420,384,5001,421,218,2766,304,1305,128,178,65,4985,400,1038,438,46,145,3718
78,278,628,377,387,357,727,616,208,76,1815,1839,46,1814,1701,93,78,306,3270,2369,0,31,88,106,134,66,860,92,492,183,15,2872,167,1863,1489,7,128,2511,206,937,379,3275,482,143,1840,131,831,65,105,57,3482,172,568,169,17,68,2832
79,570,815,441,677,599,660,699,367,75,2460,2443,125,2342,2337,99,44,350,4509,3104,8,28,133,238,225,48,1119,199,466,173,43,4022,263,2522,1949,10,159,3463,214,1226,222,4681,429,269,2561,226,1187,81,112,38,4591,312,557,241,37,170,3898
80,700,854,394,654,863,1006,750,359,116,2843,2853,134,2704,2756,102,72,421,5203,3584,24,53,89,221,196,129,1400,229,645,285,14,4523,188,3169,2129,34,176,4043,269,1384,517,5179,642,267,2992,354,1242,92,52,55,5499,197,633,396,13,233,4421
81,680,767,337,430,859,697,679,326,69,2405,2439,79,2454,2240,71,17,273,4554,2869,78,36,45,192,184,120,1320,108,780,172,84,3700,163,2635,1906,43,97,3435,167,1242,359,4485,731,278,2390,161,1139,59,74,12,4692,152,783,559,97,241,3164
82,351,289,417,260,364,511,576,250,43,1645,1416,32,1684,1298,47,14,336,2711,1804,0,22,92,101,159,102,781,91,376,228,0,2366,156,1685,1156,44,20,2225,206,630,264,2797,444,120,1377,98,872,44,69,37,2879,182,361,511,75,164,1950
83,763,502,586,858,480,572,421,211,68,2333,2128,40,2483,1867,71,15,417,4029,2453,19,268,331,246,345,103,696,93,889,686,13,2780,367,1872,2039,68,115,3200,278,983,208,4253,410,228,1978,217,1497,68,51,12,4188,273,670,866,366,295,2264
84,424,320,302,328,312,342,222,108,0,1245,1113,41,1164,1092,61,7,318,2033,1549,0,54,44,63,107,59,482,55,536,183,0,1584,132,1074,1094,17,41,1567,97,694,169,2189,157,103,1194,145,700,6,43,10,2097,261,393,549,32,287,1097
85,903,1257,524,648,1144,1236,828,410,570,3929,3591,107,3481,3862,70,140,817,6563,4623,0,219,317,206,166,56,1933,328,995,918,20,5259,496,3397,3106,60,461,5156,329,2035,686,6834,419,371,4039,388,1955,86,198,64,7020,500,1439,189,130,422,5340
86,300,69,838,865,504,254,339,32,7,1705,1503,32,2369,715,92,19,817,2372,1149,63,87,211,255,273,191,979,46,633,466,0,2063,366,1171,1611,54,6,2894,183,131,94,3114,229,121,839,263,1580,96,80,0,3083,125,659,372,134,310,1733
87,884,481,896,999,664,661,817,254,177,2992,2841,13,3119,2514,187,191,874,4768,3622,15,131,345,554,268,162,736,54,950,1219,11,3599,467,2259,2857,73,177,4493,220,1120,409,5424,273,257,2714,422,1808,247,72,40,5155,678,1243,877,274,321,3118
88,203,448,143,224,354,480,341,318,118,1325,1304,18,1196,1357,58,11,254,2364,1756,4,32,25,33,83,37,659,34,423,46,5,2121,119,1522,903,4,81,1968,129,532,241,2388,250,95,1433,121,566,66,86,12,2596,33,387,130,15,53,2044
89,557,840,357,477,657,845,830,428,190,2803,2378,55,2506,2465,155,66,453,4662,3427,10,90,136,218,151,71,1078,191,835,431,25,3699,331,2422,2055,71,302,3787,211,1183,352,4829,318,265,2675,307,1238,118,169,91,4600,581,1154,113,53,184,3677
90,173,2781,2929,461,458,370,370,92,36,3553,4117,26,3099,3839,706,139,1694,5837,6832,17,52,71,74,131,40,453,208,484,664,13,6301,189,1179,6154,62,86,2275,246,5149,313,7357,127,192,4571,511,1803,21,75,370,6264,1406,954,1375,206,242,4893
91,428,461,451,367,465,378,356,146,64,1551,1565,0,1727,1302,87,59,462,2595,1980,11,101,122,130,186,65,521,36,543,412,23,2102,114,1411,1439,21,131,2210,138,768,262,2854,125,143,1389,101,1143,68,129,18,2781,335,600,85,103,259,2069
92,259,523,225,233,430,502,445,264,135,1451,1565,21,1578,1368,49,91,106,2819,1924,5,53,41,180,106,80,627,49,471,185,0,2311,132,1625,1071,51,137,2092,100,824,228,2788,242,129,1438,196,818,53,114,26,2883,133,609,94,36,78,2199
93,830,856,448,625,685,769,743,439,281,2877,2799,26,2704,2842,104,55,604,5017,3881,49,63,77,203,175,66,1162,142,754,333,31,4416,209,2950,2350,9,158,3945,361,1370,337,5339,427,211,2972,322,1326,193,145,80,5183,493,915,121,37,127,4476
94,492,1057,394,612,833,883,972,445,446,3094,3040,66,3076,2805,187,95,383,5656,4179,33,18,39,159,288,38,1380,159,1044,492,72,4367,304,3227,2239,39,325,4552,226,1356,650,5484,462,271,3058,185,1767,38,317,36,5632,502,1105,200,63,30,4736
95,598,367,1015,1103,648,780,402,164,92,2418,2751,0,3480,1575,114,27,1290,3852,2622,59,193,105,384,380,243,1183,45,664,1517,21,2922,402,2044,2521,110,92,4120,215,834,263,4906,482,210,1689,267,2200,78,191,52,4163,1006,1600,201,669,182,2517
96,536,609,703,844,648,379,366,164,128,2212,2165,40,2445,1772,120,139,229,4009,2661,11,372,314,194,197,90,538,0,654,1053,31,2639,359,1309,2558,19,132,3093,115,1169,382,3995,192,104,1932,429,1370,127,200,23,3267,1110,410,653,607,116,2591
97,821,340,824,758,750,549,560,108,66,2263,2513,11,2863,1778,124,31,495,4250,2805,36,122,180,303,220,152,958,100,921,645,13,3097,357,2090,2143,110,76,3662,274,840,275,4501,279,203,1913,367,1718,82,180,34,4079,697,665,347,817,210,2737
98,331,433,174,387,449,452,376,133,48,1480,1303,0,1482,1214,87,5,283,2495,1730,20,31,27,82,120,33,740,131,461,173,47,1971,164,1407,1050,52,110,2086,174,523,205,2578,202,53,1301,133,824,127,130,13,2524,259,427,37,192,111,2016
99,286,385,487,427,442,477,300,217,114,1430,1705,11,1865,1172,87,12,161,2962,1747,42,142,191,263,238,155,357,102,763,654,0,1616,136,1334,1481,0,184,2417,118,600,200,2935,106,73,1270,157,1340,50,139,0,2706,429,674,20,410,81,1950
100,497,419,374,675,692,694,476,301,107,2024,2211,14,2427,1731,63,20,219,3996,2508,0,61,230,370,152,92,822,54,803,645,8,2725,384,2004,1706,14,127,3238,322,675,352,3883,305,127,1808,420,1263,70,205,37,3796,439,1134,54,266,124,2657
